Quantidade;DataHoraProducaoAux;cd_Referencia;ds_Prod;qtdItem;dt_LimiteEntrega;cdEnt;Nome;Apelido;dt_Pedido;cdPedido;ds_potencia;PotenciaKVA;nrofasesTrafo;ds_classeTensaoTrafo;dt_criacao;NroRevisao;dt_Revisao;ds_TensaoTrafo;ds_TensaoTrafoSec;ds_TapsTrafo;cd_SglEstado;DiaSemana;SemanaAno;Ano;Mes;ds_TpEnrolamentoNucleo;Ds_tpConstrTrafo;Dia;cd_TpEnrolamentoNucleo;ds_TensaoTrafoDesp;QtdProduzida;TotalJC;TotalAM;TotalEMP;TotalEMPLM;TotalENR;TotalSL;cdEntEmpDesti;SeqPlano;QtdAproduzirTotal;QtdAproduzir;Data_Snapshot
1;2026-08-18;TPD-438077;TRANSFORMADOR 112,5kVA 15kV 3F 380/220V 13800V                                                                          ;1;2026-09-01;11417;Celesc Distribuição S/A;Celesc Distribuição;2026-07-21 09:53:12;70371;112,5 kVA ;112.5;TRI;15kV           ;2026-07-24;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;SC;TER;34;2026;8;EMP                                     ;Selado              ;18;3;13800V                                                                ;0;0;0;1;0;0;0;1;314.0;1;1;2026-08-25
1;2026-08-18;TPD-438078;TRANSFORMADOR 150kVA 15kV 3F 380/220V 13800V                                                                            ;1;2026-09-01;11417;Celesc Distribuição S/A;Celesc Distribuição;2026-07-21 09:53:12;70371;150 kVA   ;150.0;TRI;15kV           ;2026-07-30;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;SC;TER;34;2026;8;EMP                                     ;Selado              ;18;3;13800V                                                                ;0;0;0;1;0;0;0;1;315.0;1;1;2026-08-25
25;2026-08-18;TPD-438925;TRANSFORMADOR 37,5kVA 15kV 1F 220V 7967V                                                                                ;25;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;37,5 kVA  ;37.5;MON;15kV           ;2026-07-29;0;;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;MA;TER;34;2026;8;JC                                      ;Selado              ;18;2;7967V                                                                 ;0;25;0;0;0;0;0;1;321.0;25;25;2026-08-25
10;2026-08-19;TPD-366818;TRANSFORMADOR 45kVA 15kV 3F 380/220V 13800V                                                                             ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;45 kVA    ;45.0;TRI;15kV           ;2023-04-24;1;2026-08-06;13.800 / 13.200 / 12.600 / 12.000 / 11.400 V                          ;380/220V                                                              ;5              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;10;0;0;0;1;181.0;10;10;2026-08-25
1;2026-08-19;TPD-378159;TRANSFORMADOR 25kVA 15kV 1F 220V 7967V                                                                                  ;10;2026-10-17;11418;Equatorial Goiás Distribuidora de Energia S/A.;EQTL - GO;2026-08-14 09:18:25;71349;25 kVA    ;25.0;MON;15kV           ;2024-06-07;1;2024-06-20;7.967 / 7.621 / 7.275 V                                               ;220V                                                                  ;3              ;GO;QUA;34;2026;8;JC                                      ;Selado              ;19;2;7967V                                                                 ;0;1;0;0;0;0;0;1;177.0;10;1;2026-08-25
3;2026-08-19;TPD-378243;TRANSFORMADOR 10kVA 36,2kV 1F 220V 19919V                                                                               ;45;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;10 kVA    ;10.0;MON;36,2kV         ;2024-04-10;3;2025-11-11;19919/19053/18187 V                                                   ;220V                                                                  ;3              ;MA;QUA;34;2026;8;ENR                                     ;Selado              ;19;1;19919V                                                                ;0;0;0;0;0;3;0;1;173.0;45;3;2026-08-25
20;2026-08-19;TPD-378249;TRANSFORMADOR 10kVA 36,2kV 1F 440/220V 19919V                                                                           ;20;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;10 kVA    ;10.0;MON;36,2kV         ;2024-04-04;2;2025-11-11;19919/19053/18187 V                                                   ;440/220V                                                              ;3              ;MA;QUA;34;2026;8;ENR                                     ;Selado              ;19;1;19919V                                                                ;0;0;0;0;0;20;0;1;176.0;20;20;2026-08-25
27;2026-08-19;TPD-378294;TRANSFORMADOR 75kVA 15kV 3F 380/220V 13800V                                                                             ;200;2026-09-01;152975;Equatorial S.A.;Equatorial S.A.;2026-06-24 00:00:00;69500;75 kVA    ;75.0;TRI;15kV           ;2024-05-31;1;2025-05-21;13800/13200/12600 V                                                   ;380/220V                                                              ;3              ;MA;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;27;0;0;0;1;184.0;200;27;2026-08-25
2;2026-08-19;TPD-388239;TRANSFORMADOR 150kVA 15kV 3F 380/220V 13800V                                                                            ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;150 kVA   ;150.0;TRI;15kV           ;2024-08-15;0;;13.800 / 13.200 / 12.600 V                                            ;380/220V                                                              ;3              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;2;0;0;0;1;186.0;10;2;2026-08-25
1;2026-08-19;TPD-393235;TRANSFORMADOR 150kVA 15kV 3F 380/220V 13800V                                                                            ;10;2026-08-31;1;TRAEL TRANSFORMADORES ELETRICOS LTDA;TRAEL- Matriz;2026-06-24 15:40:06;69530;150 kVA   ;150.0;TRI;15kV           ;2024-08-05;0;;13.800 / 13.200 / 12.600 / 12.000 / 11.400 V                          ;380/220V                                                              ;5              ;MT;QUA;34;2026;8;EMP                                     ;Selado              ;19;3;13800V                                                                ;0;0;0;1;0;0;0;1;187.0;10;1;2026-08-25
