"CodProd","DescProd","CodMedEstoque","PrecoMedio"
"11799",PLACA DE DIAGRAMA DOS ACESSÓRIOS - AFL-531-AC-001                                                                       ,Un,"45,548300"
"118","TERMINAL DE LIGAÇÃO BT 1,3kV 160A T2 - 223.11-173                                                                       ",Un,"37,310500"
"11895","MOTOR 0,5 CV 4P - 220/380V - 60HZ                                                                                       ",Un,"603,849600"
"119","TERMINAL DE LIGAÇÃO BT 1,3kV 160A T1 - 223.10-198                                                                       ",Un,"45,103801"
"11902",CALÇO DE BOBINA C/ CANAL 40 x 40 x 110 x 120mm                                                                          ,Un,"1,500000"
"11917",CONJUNTO DE ANÉIS DE PRENSAGEM - APA-282-MP-026                                                                         ,Un,"663,619800"
"11949","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - R135PL-260                                                                  ",Un,"2,506444"
"11950","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - R135PL-261                                                                  ",Un,"18,150000"
"12",ACIONAMENTO INTERNO P/ COMUTADOR 75A                                                                                    ,Un,"105,290417"
"120","TERMINAL DE LIGAÇÃO BT 1,3kV 2000A com 4 furos                                                                          ",Un,"565,320000"
"12059","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - R117PL-263                                                                  ",Un,"2,338514"
"12074",FIO ALUMINIO CIRCULAR ESMALTADO 180°C 19 AWG                                                                            ,Kg   ,"24,560818"
"12084","FIO ALUMINIO RETANGULAR 3,0 x 4,0 - C/ 4 V 0,06mm - (0,48mm) - PKT                                                      ",Kg   ,"33,853840"
"12085","FIO ALUMINIO CIRCULAR ESMALTADO 180°C 21,5 AWG                                                                          ",Kg   ,"27,459889"
"12095","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 115PL-240                                                                   ",Un,"2,568663"
"12096","PLACA DE IDENT ALUM ANOD 0,8 x 74 x 105mm - 103PL-246                                                                   ",Un,"0,708155"
"121","TERMINAL DE LIGAÇÃO BT 1,3kV 3150A                                                                                      ",Un,"985,615714"
"12103","FIO DE COBRE RETANGULAR 4,0 x 9,0 NÚ                                                                                    ",Kg   ,"12,245962"
"12119","BARRA QUADRADA MEC SAE1045 1"" x 6000mm                                                                                  ",Kg   ,"8,472800"
"12122","CABO DE COBRE FLEXIVEL BRANCO 750v 2,5mm²                                                                               ",M    ,"1,581894"
"12158",PONTE DE LIGAÇÃO 4 PÓLOS - 8WA1 887                                                                                     ,Un,"8,068000"
"12159",DISJUNTOR TRIPOLAR - 5SP4 392-7                                                                                         ,Un,"587,246667"
"12160",BORNE CONECTOR PARAFUSO 35mm2 - 8WA1 205                                                                                ,Un,"13,880000"
"12161",RELÉ DE PROTEÇÃO 220Vca - 3UG0712-1BN00                                                                                 ,Un,"161,465066"
"122","TERMINAL DE LIGAÇÃO BT 1,3kV 400A T2 - 223.13-341                                                                       ",Un,"87,250268"
"12229","CHAPA AÇO CARBONO LASER ASTM-A36 (FQ3/16) 4,75 x 1500 x 3000mm                                                          ",Kg   ,"2,644038"
"123","TERMINAL DE LIGAÇÃO BT 1,3kV 400A T1 - 223.12-340                                                                       ",Un,"104,549075"
"12339",CALÇO DE APOIO TC - 50 x 85 x 90mm                                                                                      ,Un,"13,370380"
"124","TERMINAL DE LIGAÇÃO BT 1,3kV 5000A                                                                                      ",Un,"2121,180325"
